0000	注意
0001	方法
0002	范围
0003	填写参考
0004	项目数字副本 · 原件未出库
0005	历史专卷数字化复核工作台
0006	复核工作台
0007	2026 · 项目内网
0008	工单、受控比对、处置建议与项目回执
0009	内部工单语体
0010	数字化复核人员
0011	使用中
0012	槐水人家
0013	2004 · 地方BBS镜像
0014	本地生活、求助、闲聊与旧帖存档
0015	本地网友口语
0016	槐县及周边网民
0017	只读镜像
0018	槐县档案开放目录
0019	档案目录
0020	2004—2026 · 多次迁移
0021	查题名、年代、责任者、开放状态与参见卷
0022	目录著录语体
0023	查档人员与馆内整理员
0024	持续迁移与勘误
0025	槐北民俗资料网
0026	民俗资料网
0027	1999 · 课题组旧站
0028	采风抄本、地方刊物索引与读者补正
0029	业余整理与站务编辑语体
0030	地方文化爱好者与投稿人
0031	旧页保留，勘误补挂
0032	槐县旧报扫描库
0033	旧报扫描库
0034	1980年代载体 · 2000年代数字化
0035	按日期、版次与OCR正文检索报纸和底片
0036	报纸编目与OCR检索语体
0037	读者、馆员与地方史查询者
0038	胶片影像与OCR分层校正
0039	北坡地质资料库
0040	地质资料库
0041	1992—2026 · 技术资料
0042	雨量、剖面、闭坑、坡体与监测资料
0043	工程技术记录语体
0044	工程与地质资料查询者
0045	按报告号归档
0046	槐县历史专卷数字化复核项目
0047	工单 QA-26-0813-447
0048	一只标着命案原卷号的底片袋，被挂在滑坡卷下二十二年。
0049	你是本批卷宗质检员 QC-447。迁移表已被退回；同批旧索引又将阿山写成‘唯一行为人’。请先抽出交接单上的一个汉字词，到公开站点检索，再决定旧题名能否继续使用。第一词：阿山。
0050	权限：查阅获准数字副本、填写复核回单、提交处置建议。
0051	签收工单
0052	当前复核项
0053	本项来源
0054	返回当前复核项
0055	保存本项回单
0056	从工单正文抽出一个汉字词，到公开站点的检索框里搜。一次只搜一个词。
0057	空串、空格两词、纯英文都检不出结果。检中后打开该条再找下一条。
0058	后段才回到工作台填写回单。提交处置建议只放在终局；你没有批准权。
0059	槐树村那个庙，有人听过没
0060	旧事闲谈 · 1回复 · 镜像含编辑记录
0061	楼主问的是北坡旧祠堂。帖子有人讲门闩，也有人讲冰块，说不到一块。
0062	楼主：小时候不让我们往北坡跑。我奶奶说北坡旧时候还有轮灯、三宿交牌的老例，又说那晚门杠是自己落的；隔壁再说是冰垫着，化了才落。
0063	南桥旧人：镇上那时候都往阿山身上算，说殿里出事的人里就他还活着，街面都叫他第九个。后来我还在一张目录上看见过‘唯一行为人’。
0064	楼主于23:02编辑：先说明，这些都是我小时候听来的，原卷我一页没见过。
0065	用户回忆，非同期原卷
0066	转个老帖，九个人那个
0067	转帖区 · 9回复
0068	原链接已失效。转帖人凭印象留下‘八个，又一个’的说法。
0069	楼主：原链没了。我只记得急救那页先写八个，旁边又补一个，后来就都叫‘第九个’。
0070	4楼：你说的八个是到庙院，还是真进了正殿？老表那几栏不是一回事。
0071	转述
0072	未说明计数口径
0073	冰块把门杠冻住能不能弄
0074	木工杂谈 · 24回复
0075	一楼拿自家院门试了冰托，回帖一直在问融水往哪流。
0076	楼主：冰垫在杠头下面，我这扇门是能掉下来的。但水会沿门槛流一道，旧案现场到底记没记水，我不知道。
